vin,year,model,body,trim,engine,transmission,drivetrain,exterior_color,msrp,dealer,location,ordernum,json,all_rpos
1G1YB2D47N5125165,2022,CORVETTE,COUPE,STINGRAY,6.2L V8 DI,DCT8,RWD,CERAMIC MATRIX GRAY,80420,"BACHMAN AUTO GROUP, INC.","LOUISVILLE, KY 40299-1902",ZZHB5W,"{'maker': 'CHEVY', 'model_year': '2022', 'mmc_code': '1YC07', 'vin': '1G1YB2D47N5125165', 'sitedealer_code': '25033', 'sell_source': '13', 'order_number': 'ZZHB5W', 'creation_date': '5/21/2022', 'Options': ['AHE', 'AHH', 'AH2', 'AJ7', 'AL0', 'AL9', 'AP9', 'AQA', 'AT9', 'AXJ', 'A2X', 'A7K', 'BGR', 'BVN', 'B72', 'CF7', 'CJ2', 'DNS', 'DRZ', 'DTH', 'DYX', 'EFR', 'EF7', 'EPH', 'ERI', 'EYT', 'E2C', 'FE3', 'FE9', 'FJW', 'GM7', 'G9F', 'G96', 'HUL', 'IOT', 'J22', 'J55', 'J6A', 'KI3', 'KQV', 'KRV', 'K4C', 'LHD', 'LT2', 'MAH', 'M1L', 'NE8', 'NKD', 'NK4', 'NPP', 'NTB', 'NWI', 'N38', 'PPW', 'Q8T', 'RWL', 'R9N', 'SLL', 'TB8', 'TDM', 'TTW', 'TU7', 'T0A', 'T4L', 'T8Z', 'UDV', 'UD7', 'UE1', 'UFG', 'UFT', 'UG1', 'UJN', 'UMN', 'UQH', 'UQT', 'UQV', 'UTJ', 'UTU', 'UTV', 'UVA', 'UV6', 'U2K', 'U2L', 'U80', 'VA5', 'VHM', 'VH9', 'VRF', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMW', 'XFQ', 'XL8', 'Z51', '0ST', '1SZ', '2LT', '2ST', '3ST', '4G2', '4ST', '5A7', '5FC', '5ST', '6X1', '7X1', '719', '8X2', '9L3', '9X2']}","['AHE', 'AHH', 'AH2', 'AJ7', 'AL0', 'AL9', 'AP9', 'AQA', 'AT9', 'AXJ', 'A2X', 'A7K', 'BGR', 'BVN', 'B72', 'CF7', 'CJ2', 'DNS', 'DRZ', 'DTH', 'DYX', 'EFR', 'EF7', 'EPH', 'ERI', 'EYT', 'E2C', 'FE3', 'FE9', 'FJW', 'GM7', 'G9F', 'G96', 'HUL', 'IOT', 'J22', 'J55', 'J6A', 'KI3', 'KQV', 'KRV', 'K4C', 'LHD', 'LT2', 'MAH', 'M1L', 'NE8', 'NKD', 'NK4', 'NPP', 'NTB', 'NWI', 'N38', 'PPW', 'Q8T', 'RWL', 'R9N', 'SLL', 'TB8', 'TDM', 'TTW', 'TU7', 'T0A', 'T4L', 'T8Z', 'UDV', 'UD7', 'UE1', 'UFG', 'UFT', 'UG1', 'UJN', 'UMN', 'UQH', 'UQT', 'UQV', 'UTJ', 'UTU', 'UTV', 'UVA', 'UV6', 'U2K', 'U2L', 'U80', 'VA5', 'VHM', 'VH9', 'VRF', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMW', 'XFQ', 'XL8', 'Z51', '0ST', '1SZ', '2LT', '2ST', '3ST', '4G2', '4ST', '5A7', '5FC', '5ST', '6X1', '7X1', '719', '8X2', '9L3', '9X2']"
1G1YC3D41N5125164,2022,CORVETTE,CONVERTIBLE,STINGRAY,6.2L V8 DI,DCT8,RWD,TORCH RED,96430,"LOEHMANN-BLASIUS CHEVROLET, INC.","WATERBURY, CT 06723-2510",ZXWV1G,"{'maker': 'CHEVY', 'model_year': '2022', 'mmc_code': '1YC67', 'vin': '1G1YC3D41N5125164', 'sitedealer_code': '02316', 'sell_source': '13', 'order_number': 'ZXWV1G', 'creation_date': '5/24/2022', 'Options': ['AHE', 'AHH', 'AH2', 'AJ7', 'AL0', 'AL9', 'AP9', 'AQA', 'AT9', 'AXJ', 'A2X', 'A7K', 'BGR', 'BVN', 'B4Z', 'B72', 'CJ2', 'CM9', 'DRZ', 'DYX', 'EFY', 'EF7', 'EPH', 'ERI', 'EYT', 'E2C', 'E60', 'FA5', 'FE4', 'FJW', 'GKZ', 'GM7', 'G96', 'HZN', 'IOT', 'IWE', 'J22', 'J55', 'J6F', 'KI3', 'KQV', 'KRV', 'K4C', 'LHD', 'LT2', 'MAH', 'M1L', 'NE1', 'NE8', 'NKD', 'NK4', 'NPP', 'NUB', 'NWI', 'N38', 'PPW', 'Q8S', 'RWL', 'R9N', 'SLL', 'TB8', 'TDM', 'TTW', 'T0A', 'T4L', 'T8Z', 'UDV', 'UD7', 'UE1', 'UFG', 'UFT', 'UG1', 'UJN', 'UMN', 'UQH', 'UQT', 'UQV', 'UTJ', 'UTU', 'UTV', 'UVA', 'UV6', 'U2K', 'U2L', 'U80', 'VA5', 'VHM', 'VH9', 'VK3', 'VRF', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMW', 'XFQ', 'XL8', 'Z51', '0ST', '1SZ', '2ST', '3LT', '3N9', '3ST', '4JY', '4ST', '5A7', '5FC', '5ST', '6X1', '7X1', '8X2', '9L3', '9X2']}","['AHE', 'AHH', 'AH2', 'AJ7', 'AL0', 'AL9', 'AP9', 'AQA', 'AT9', 'AXJ', 'A2X', 'A7K', 'BGR', 'BVN', 'B4Z', 'B72', 'CJ2', 'CM9', 'DRZ', 'DYX', 'EFY', 'EF7', 'EPH', 'ERI', 'EYT', 'E2C', 'E60', 'FA5', 'FE4', 'FJW', 'GKZ', 'GM7', 'G96', 'HZN', 'IOT', 'IWE', 'J22', 'J55', 'J6F', 'KI3', 'KQV', 'KRV', 'K4C', 'LHD', 'LT2', 'MAH', 'M1L', 'NE1', 'NE8', 'NKD', 'NK4', 'NPP', 'NUB', 'NWI', 'N38', 'PPW', 'Q8S', 'RWL', 'R9N', 'SLL', 'TB8', 'TDM', 'TTW', 'T0A', 'T4L', 'T8Z', 'UDV', 'UD7', 'UE1', 'UFG', 'UFT', 'UG1', 'UJN', 'UMN', 'UQH', 'UQT', 'UQV', 'UTJ', 'UTU', 'UTV', 'UVA', 'UV6', 'U2K', 'U2L', 'U80', 'VA5', 'VHM', 'VH9', 'VK3', 'VRF', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMW', 'XFQ', 'XL8', 'Z51', '0ST', '1SZ', '2ST', '3LT', '3N9', '3ST', '4JY', '4ST', '5A7', '5FC', '5ST', '6X1', '7X1', '8X2', '9L3', '9X2']"
1G1YA2D4XN5125163,2022,CORVETTE,COUPE,STINGRAY,6.2L V8 DI,DCT8,RWD,HYPERSONIC GRAY,69840,BILL CRAMER CHEVROLET BUICK GMC,"PANAMA CITY, FL 32402-0490",ZTQX51,"{'maker': 'CHEVY', 'model_year': '2022', 'mmc_code': '1YC07', 'vin': '1G1YA2D4XN5125163', 'sitedealer_code': '26482', 'sell_source': '13', 'order_number': 'ZTQX51', 'creation_date': '5/24/2022', 'Options': ['AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'A7K', 'BGR', 'BVN', 'B72', 'CF7', 'CJ2', 'DWK', 'EFR', 'EF7', 'EPH', 'EYT', 'E2C', 'FE3', 'FE9', 'FJW', 'GA7', 'GM7', 'G96', 'HUP', 'IOS', 'J22', 'J55', 'J6A', 'KRV', 'LHD', 'LT2', 'MAH', 'M1L', 'NE8', 'NKD', 'NK4', 'NPP', 'NTB', 'NWI', 'N38', 'PPW', 'Q8Q', 'RIA', 'RWL', 'R9N', 'SLL', 'TB8', 'TDM', 'TTW', 'T0A', 'T4L', 'T8Z', 'UDV', 'UD7', 'UE1', 'UJN', 'UMN', 'UQS', 'UQV', 'UVB', 'U2K', 'U2L', 'U80', 'VA5', 'VHM', 'VH9', 'VRF', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMW', 'XFQ', 'XL8', 'YM8', 'Z51', '0ST', '1LT', '1SZ', '2ST', '3ST', '4JF', '4ST', '5A7', '5FC', '5ST', '6X1', '7X1', '719', '8X2', '9L3', '9X2']}","['AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'A7K', 'BGR', 'BVN', 'B72', 'CF7', 'CJ2', 'DWK', 'EFR', 'EF7', 'EPH', 'EYT', 'E2C', 'FE3', 'FE9', 'FJW', 'GA7', 'GM7', 'G96', 'HUP', 'IOS', 'J22', 'J55', 'J6A', 'KRV', 'LHD', 'LT2', 'MAH', 'M1L', 'NE8', 'NKD', 'NK4', 'NPP', 'NTB', 'NWI', 'N38', 'PPW', 'Q8Q', 'RIA', 'RWL', 'R9N', 'SLL', 'TB8', 'TDM', 'TTW', 'T0A', 'T4L', 'T8Z', 'UDV', 'UD7', 'UE1', 'UJN', 'UMN', 'UQS', 'UQV', 'UVB', 'U2K', 'U2L', 'U80', 'VA5', 'VHM', 'VH9', 'VRF', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMW', 'XFQ', 'XL8', 'YM8', 'Z51', '0ST', '1LT', '1SZ', '2ST', '3ST', '4JF', '4ST', '5A7', '5FC', '5ST', '6X1', '7X1', '719', '8X2', '9L3', '9X2']"
1G1YB2D41N5125162,2022,CORVETTE,COUPE,STINGRAY,6.2L V8 DI,DCT8,RWD,BLACK,82680,"CENTRAL CHEVROLET, INC.","WEST SPRINGFIELD, MA 01089-3558",ZXPQVD,"{'maker': 'CHEVY', 'model_year': '2022', 'mmc_code': '1YC07', 'vin': '1G1YB2D41N5125162', 'sitedealer_code': '32148', 'sell_source': '13', 'order_number': 'ZXPQVD', 'creation_date': '5/21/2022', 'Options': ['AHE', 'AHH', 'AJ7', 'AL0', 'AL9', 'AP9', 'AQA', 'AQ9', 'AT9', 'AXJ', 'A2X', 'A7K', 'BGR', 'BVN', 'B4Z', 'B72', 'CF7', 'CJ2', 'DRZ', 'DYX', 'EFR', 'EF7', 'EPH', 'ERI', 'EYT', 'E2C', 'E60', 'FE4', 'FJW', 'GBA', 'GM7', 'G96', 'HUV', 'IOT', 'J22', 'J55', 'J6E', 'KI3', 'KQV', 'KRV', 'K4C', 'LHD', 'LT2', 'MAH', 'M1L', 'NE1', 'NE8', 'NKD', 'NK4', 'NPP', 'NUB', 'NWI', 'N38', 'PPW', 'Q8S', 'RWL', 'R9N', 'SLL', 'TB8', 'TDM', 'TTW', 'T0A', 'T4L', 'T8Z', 'UDV', 'UD7', 'UE1', 'UFG', 'UFT', 'UG1', 'UJN', 'UMN', 'UQH', 'UQT', 'UQV', 'UTJ', 'UTU', 'UTV', 'UVA', 'UV6', 'U2K', 'U2L', 'U80', 'VA5', 'VHM', 'VH9', 'VK3', 'VRF', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMW', 'XFQ', 'XL8', 'Z51', '0ST', '1SZ', '2LT', '2ST', '3N9', '3ST', '4JH', '4ST', '5A7', '5FC', '5ST', '6X1', '7X1', '8X2', '9L3', '9X2']}","['AHE', 'AHH', 'AJ7', 'AL0', 'AL9', 'AP9', 'AQA', 'AQ9', 'AT9', 'AXJ', 'A2X', 'A7K', 'BGR', 'BVN', 'B4Z', 'B72', 'CF7', 'CJ2', 'DRZ', 'DYX', 'EFR', 'EF7', 'EPH', 'ERI', 'EYT', 'E2C', 'E60', 'FE4', 'FJW', 'GBA', 'GM7', 'G96', 'HUV', 'IOT', 'J22', 'J55', 'J6E', 'KI3', 'KQV', 'KRV', 'K4C', 'LHD', 'LT2', 'MAH', 'M1L', 'NE1', 'NE8', 'NKD', 'NK4', 'NPP', 'NUB', 'NWI', 'N38', 'PPW', 'Q8S', 'RWL', 'R9N', 'SLL', 'TB8', 'TDM', 'TTW', 'T0A', 'T4L', 'T8Z', 'UDV', 'UD7', 'UE1', 'UFG', 'UFT', 'UG1', 'UJN', 'UMN', 'UQH', 'UQT', 'UQV', 'UTJ', 'UTU', 'UTV', 'UVA', 'UV6', 'U2K', 'U2L', 'U80', 'VA5', 'VHM', 'VH9', 'VK3', 'VRF', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMW', 'XFQ', 'XL8', 'Z51', '0ST', '1SZ', '2LT', '2ST', '3N9', '3ST', '4JH', '4ST', '5A7', '5FC', '5ST', '6X1', '7X1', '8X2', '9L3', '9X2']"
