VIN,Year,Model,Trim,Engine,Trans.,Drivetrain,Exterior_Color,Interior_Color,Interior,MSRP,Order_Number
2C3CDZL94PH100001,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Laguna Leather Seats,"$162,836 ",3065
2C3CDZL96PH100002,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Cloth Seats,"$127,836 ",3066
2C3CDZL98PH100003,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$162,441 ",3067
2C3CDZL9XPH100004,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Frostbite,Black Interior Color,170 Alcantara Leather Seats,"$134,631 ",3068
2C3CDZL91PH100005,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black / Demonic Red,170 Laguna Leather Seats,"$145,631 ",3069
2C3CDZL93PH100006,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black Interior Color,170 Cloth Seats,"$115,751 ",3070
2C3CDZL95PH100007,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Octane Red,Black Interior Color,170 Cloth Seats,"$131,836 ",3071
2C3CDZL97PH100008,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Frostbite,Black Interior Color,170 Alcantara Leather Seats,"$123,746 ",3072
2C3CDZL99PH100009,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$136,141 ",3073
2C3CDZL95PH100010,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black Interior Color,170 Alcantara Leather Seats,"$131,841 ",3074
2C3CDZL97PH100011,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$161,446 ",3075
2C3CDZL99PH100012,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$146,926 ",3076
2C3CDZL90PH100013,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$135,936 ",3077
2C3CDZL92PH100014,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sinamon Stick,Black Interior Color,170 Alcantara Leather Seats,"$134,536 ",3078
2C3CDZL94PH100015,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$162,836 ",3079
2C3CDZL96PH100016,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Gray,Black / Demonic Red,170 Laguna Leather Seats,"$134,631 ",3080
2C3CDZL98PH100017,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$133,541 ",3081
2C3CDZL91PH100019,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black Interior Color,170 Alcantara Leather Seats,"$144,231 ",3083
2C3CDZL9XPH100021,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$117,956 ",3085
2C3CDZL91PH100022,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$124,441 ",3086
2C3CDZL93PH100023,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black Interior Color,170 Cloth Seats,"$125,846 ",3087
2C3CDZL95PH100024,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$142,926 ",3088
2C3CDZL97PH100025,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$134,236 ",3089
2C3CDZL99PH100026,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$120,951 ",3090
2C3CDZL90PH100027,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black / Demonic Red,170 Laguna Leather Seats,"$130,936 ",3091
2C3CDZL92PH100028,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black Interior Color,170 Alcantara Leather Seats,"$132,841 ",3092
2C3CDZL94PH100029,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Frostbite,Black / Demonic Red,170 Laguna Leather Seats,"$135,636 ",3093
2C3CDZL90PH100030,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$123,736 ",3094
2C3CDZL92PH100031,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$131,546 ",3095
2C3CDZL94PH100032,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,B5 Blue,Black Interior Color,170 Alcantara Leather Seats,"$136,236 ",3096
2C3CDZL96PH100033,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black / Demonic Red,170 Laguna Leather Seats,"$136,631 ",3097
2C3CDZL98PH100034,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Octane Red,Black / Demonic Red,170 Laguna Leather Seats,"$136,931 ",3098
2C3CDZL9XPH100035,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$136,536 ",3099
2C3CDZL91PH100036,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black Interior Color,170 Alcantara Leather Seats,"$118,351 ",3100
2C3CDZL93PH100037,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$150,946 ",3101
2C3CDZL95PH100038,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$120,951 ",3102
2C3CDZL97PH100039,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Frostbite,Black Interior Color,170 Alcantara Leather Seats,"$118,051 ",3103
2C3CDZL93PH100040,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Frostbite,Black / Demonic Red,170 Laguna Leather Seats,"$131,941 ",3104
2C3CDZL95PH100041,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$129,451 ",3105
2C3CDZL97PH100042,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$133,446 ",3106
2C3CDZL99PH100043,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black / Demonic Red,170 Laguna Leather Seats,"$133,841 ",3107
2C3CDZL90PH100044,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$120,951 ",3108
2C3CDZL94PH100046,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,F8 Green,Black Interior Color,170 Cloth Seats,"$117,336 ",3110
2C3CDZL96PH100047,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black Interior Color,170 Alcantara Leather Seats,"$122,046 ",3111
2C3CDZL98PH100048,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black / Demonic Red,170 Laguna Leather Seats,"$135,541 ",3112
2C3CDZL9XPH100049,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black Interior Color,170 Alcantara Leather Seats,"$124,046 ",3113
2C3CDZL98PH100051,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Gray,Black Interior Color,170 Alcantara Leather Seats,"$133,936 ",3115
2C3CDZL9XPH100052,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black Interior Color,170 Alcantara Leather Seats,"$132,241 ",3116
2C3CDZL91PH100053,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Cloth Seats,"$131,241 ",3117
2C3CDZL93PH100054,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,F8 Green,Black Interior Color,170 Alcantara Leather Seats,"$132,541 ",3118
2C3CDZL95PH100055,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,B5 Blue,Black Interior Color,170 Alcantara Leather Seats,"$134,536 ",3119
2C3CDZL97PH100056,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$124,441 ",3120
2C3CDZL99PH100057,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,B5 Blue,Black Interior Color,170 Alcantara Leather Seats,"$123,136 ",3121
2C3CDZL90PH100058,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$132,446 ",3122
2C3CDZL92PH100059,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$120,951 ",3123
2C3CDZL99PH100060,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black Interior Color,170 Alcantara Leather Seats,"$132,541 ",3124
2C3CDZL90PH100061,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Granite,Black / Demonic Red,170 Laguna Leather Seats,"$131,941 ",3125
2C3CDZL92PH100062,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$131,546 ",3126
2C3CDZL94PH100063,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,B5 Blue,Black Interior Color,170 Alcantara Leather Seats,"$122,741 ",3127
2C3CDZL96PH100064,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black Interior Color,170 Alcantara Leather Seats,"$136,536 ",3128
2C3CDZL98PH100065,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$130,841 ",3129
2C3CDZL9XPH100066,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black Interior Color,170 Alcantara Leather Seats,"$132,841 ",3130
2C3CDZL91PH100067,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black Interior Color,170 Alcantara Leather Seats,"$129,451 ",3131
2C3CDZL93PH100068,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black / Demonic Red,170 Laguna Leather Seats,"$144,626 ",3132
2C3CDZL95PH100069,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black / Demonic Red,170 Laguna Leather Seats,"$123,136 ",3133
2C3CDZL91PH100070,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,F8 Green,Black Interior Color,170 Alcantara Leather Seats,"$120,046 ",3134
2C3CDZL93PH100071,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$120,351 ",3135
2C3CDZL95PH100072,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black / Demonic Red,170 Laguna Leather Seats,"$136,536 ",3136
2C3CDZL99PH100074,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,B5 Blue,Black Interior Color,170 Alcantara Leather Seats,"$132,936 ",3138
2C3CDZL92PH100076,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,F8 Green,Black Interior Color,170 Cloth Seats,"$114,741 ",3140
2C3CDZL94PH100077,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$136,536 ",3141
2C3CDZL96PH100078,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$136,536 ",3142
2C3CDZL98PH100079,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$172,831 ",3143
2C3CDZL94PH100080,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Gray,Black Interior Color,170 Cloth Seats,"$114,741 ",3144
2C3CDZL96PH100081,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$131,941 ",3145
2C3CDZL98PH100082,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$161,841 ",3146
2C3CDZL9XPH100083,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sinamon Stick,Black Interior Color,170 Cloth Seats,"$118,341 ",3147
2C3CDZL91PH100084,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black Interior Color,170 Alcantara Leather Seats,"$124,046 ",3148
2C3CDZL93PH100085,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$135,936 ",3149
2C3CDZL95PH100086,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black / Demonic Red,170 Laguna Leather Seats,"$121,436 ",3150
2C3CDZL97PH100087,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$151,341 ",3151
2C3CDZL99PH100088,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,F8 Green,Black Interior Color,170 Alcantara Leather Seats,"$142,531 ",3152
2C3CDZL90PH100089,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Granite,Black Interior Color,170 Alcantara Leather Seats,"$131,941 ",3153
2C3CDZL97PH100090,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$136,141 ",3154
2C3CDZL99PH100091,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$146,136 ",3155
2C3CDZL90PH100092,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$162,836 ",3156
2C3CDZL92PH100093,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black / Demonic Red,170 Laguna Leather Seats,"$136,536 ",3157
2C3CDZL94PH100094,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$122,441 ",3158
2C3CDZL96PH100095,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$134,236 ",3159
2C3CDZL98PH100096,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Frostbite,Black Interior Color,170 Alcantara Leather Seats,"$132,541 ",3160
2C3CDZL9XPH100097,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$134,836 ",3161
2C3CDZL91PH100098,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$130,946 ",3162
2C3CDZL9XPH100102,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$135,541 ",3166
2C3CDZL91PH100103,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,B5 Blue,Black / Demonic Red,170 Laguna Leather Seats,"$134,536 ",3167
2C3CDZL95PH100105,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$121,346 ",3169
2C3CDZL97PH100106,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$121,346 ",3170
2C3CDZL99PH100107,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$121,346 ",3171
2C3CDZL90PH100108,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,B5 Blue,Black Interior Color,170 Alcantara Leather Seats,"$119,046 ",3172
2C3CDZL92PH100109,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$123,341 ",3173
2C3CDZL99PH100110,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$121,346 ",3174
2C3CDZL90PH100111,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$146,926 ",3175
2C3CDZL92PH100112,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$123,341 ",3176
2C3CDZL94PH100113,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$123,341 ",3177
2C3CDZL96PH100114,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$121,346 ",3178
2C3CDZL98PH100115,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$121,346 ",3179
2C3CDZL9XPH100116,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$123,341 ",3180
2C3CDZL91PH100117,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$121,346 ",3181
2C3CDZL93PH100118,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Gray,Black Interior Color,170 Alcantara Leather Seats,"$134,931 ",3182
2C3CDZL95PH100119,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$121,346 ",3183
2C3CDZL91PH100120,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black Interior Color,170 Alcantara Leather Seats,"$120,046 ",3184
2C3CDZL93PH100121,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$121,346 ",3185
2C3CDZL95PH100122,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$132,936 ",3186
2C3CDZL97PH100123,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black / Demonic Red,170 Laguna Leather Seats,"$120,351 ",3187
2C3CDZL99PH100124,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$144,926 ",3188
2C3CDZL90PH100125,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$121,046 ",3189
2C3CDZL92PH100126,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$121,046 ",3190
2C3CDZL94PH100127,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$121,046 ",3191
2C3CDZL96PH100128,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$120,951 ",3192
2C3CDZL98PH100129,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$121,046 ",3193
2C3CDZL94PH100130,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$136,536 ",3194
2C3CDZL96PH100131,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Cloth Seats,"$127,841 ",3195
