VIN,Year,Model,Body,Trim,Engine,Trans.,Drivetrain,Exterior_Color,Interior_Color,Interior,MSRP,Order #,Equipment
2C3CDZFJ2PH502668,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY HEMI ORANGE,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,Granite,Black,"Nappa / Alcantara Seats with ""//"" Logo","$61,805 ",4866,"""{\""Granite Exterior Paint\"":\""95\"",\""R/T Scat Pack Widebody MTX - 23N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Technology Group\"":\""495\"",\""Harman Kardon\\u00ae Audio Group with Subwoofer\"":\""1795\"",\""Hemi Orange Package\"":\""1500\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ4PH502669,2023,CHALLENGER,COUPE,R/T SCAT PACK PLUS,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,Sinamon Stick,Black,Alcantara / Nappa Seats with Scat Pack Logo,"$53,615 ",5191,"""{\""Sinamon Stick Exterior Paint\"":\""395\"",\""Plus Package\"":\""3485\"",\""Power Sunroof\"":\""1295\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ0PH502670,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,Triple Nickel,Black,Alcantara / Nappa Seats with Scat Pack Logo,"$64,190 ",5940,"""{\""Triple Nickel Exterior Paint\"":\""95\"",\""R/T Scat Pack Widebody MTX - 23N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Technology Group\"":\""495\"",\""Carbon / Suede Interior Package\"":\""1595\"",\""Harman Kardon\\u00ae Audio Group with Subwoofer\"":\""1795\"",\""Power Sunroof\"":\""1295\"",\""Uconnect\\u00ae 4C NAV with 8.4-Inch Touch Screen Display\"":\""995\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ4PH502672,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,White Knuckle,Black,Alcantara / Nappa Seats with Scat Pack Logo,"$58,610 ",6272,"""{\""R/T Scat Pack Widebody MTX - 23N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Technology Group\"":\""495\"",\""Scat Pack Bumblebee Stripe\"":\""195\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ6PH502673,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Ruby Red,Alcantara / Nappa Seats with Scat Pack Logo,"$60,310 ",8800,"""{\""R/T Scat Pack Widebody ATX - 24N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Harman Kardon\\u00ae Audio Group with Subwoofer\"":\""1795\"",\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ8PH502674,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY HEMI ORANGE,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,Pitch-Black,Black,"Nappa / Alcantara Seats with ""//"" Logo","$60,715 ",1834,"""{\""R/T Scat Pack Widebody MTX - 23N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Hemi Orange Package\"":\""1500\"",\""Power Sunroof\"":\""1295\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJXPH502675,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY HEMI ORANGE,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,Pitch-Black,Black,"Nappa / Alcantara Seats with ""//"" Logo","$62,810 ",3221,"""{\""R/T Scat Pack Widebody MTX - 23N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Carbon / Suede Interior Package\"":\""1595\"",\""Harman Kardon\\u00ae Audio Group with Subwoofer\"":\""1795\"",\""Hemi Orange Package\"":\""1500\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ1PH502676,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,Octane Red,Black,Alcantara / Nappa Seats with Scat Pack Logo,"$62,970 ",3826,"""{\""Octane Red Exterior Paint\"":\""395\"",\""R/T Scat Pack Widebody ATX - 24N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Interior Appearance Group by Mopar\\u00ae\"":\""475\"",\""Carbon / Suede Interior Package\"":\""1595\"",\""Alpine\\u00ae Audio Group with Subwoofer\"":\""995\"",\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Uconnect\\u00ae 4C NAV with 8.4-Inch Touch Screen Display\"":\""995\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ3PH502677,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY HEMI ORANGE,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black,"Nappa / Alcantara Seats with ""//"" Logo","$64,795 ",4817,"""{\""R/T Scat Pack Widebody ATX - 24N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Technology Group\"":\""695\"",\""Harman Kardon\\u00ae Audio Group with Subwoofer\"":\""1795\"",\""Hemi Orange Package\"":\""1500\"",\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Power Sunroof\"":\""1295\"",\""Uconnect\\u00ae 4C NAV with 8.4-Inch Touch Screen Display\"":\""995\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ7PH502679,2023,CHALLENGER,COUPE,R/T SCAT PACK,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,Sublime,Black,Houndstooth Cloth Performance Seat,"$50,130 ",6846,"""{\""Sublime Exterior Paint\"":\""395\"",\""Power Sunroof\"":\""1295\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ3PH502680,2023,CHALLENGER,COUPE,R/T SCAT PACK W/ DYNAMICS PACKAGE,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,Pitch-Black,Black,Alcantara / Nappa Seats with Scat Pack Logo,"$58,495 ",6873,"""{\""Plus Package\"":\""3485\"",\""Dynamics Package\"":\""3390\"",\""Technology Group\"":\""495\"",\""Alpine\\u00ae Audio Group with Subwoofer\"":\""995\"",\""275/40ZR20 P Zero Summer Tires\"":\""695\"",\""Uconnect\\u00ae 4C NAV with 8.4-Inch Touch Screen Display\"":\""995\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ5PH502681,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY HEMI ORANGE,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,Granite,Black,"Nappa / Alcantara Seats with ""//"" Logo","$61,105 ",7569,"""{\""Granite Exterior Paint\"":\""95\"",\""R/T Scat Pack Widebody ATX - 24N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Hemi Orange Package\"":\""1500\"",\""Alpine\\u00ae Audio Group with Subwoofer\"":\""995\"",\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Destination Charge\"":\""1595\""}"""
