VIN,Year,Model,Trim,Engine,Trans.,Drivetrain,Exterior_Color,Interior_Color,Interior,MSRP,Order_Number,URL
2C3CDZL98PH103256,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy Pearl,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$145,270",6320,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL98PH103256
2C3CDZL9XPH103257,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$144,875",6321,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL9XPH103257
2C3CDZL91PH103258,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,ROUGE ECARLATE,NOIR AVEC SIEGES NOIRS,SIEGES EN ALCANTARA/CUIR SRT DEMON,144875,6322,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH103258
2C3CDZL93PH103259,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$144,875",6323,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL93PH103259
2C3CDZL9XPH103260,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$144,875",6324,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL9XPH103260
2C3CDZL91PH103261,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$144,875",6325,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH103261
2C3CDZL93PH103262,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,BLANC INTENSE,NOIR AVEC SIEGES ROUGE FOUDROYANT,SRTMD DEMON 170 LAGUNA LEATHER SEATS,147470,6326,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL93PH103262
2C3CDZL95PH103263,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black interior / Demonic Red seats,SRT Demon 170 Laguna leather seats,"$147,470",6327,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL95PH103263
2C3CDZL97PH103264,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black interior / Demonic Red seats,SRT Demon 170 Laguna leather seats,"$147,488",6328,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL97PH103264
2C3CDZL99PH103265,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black interior / Demonic Red seats,SRT Demon 170 Laguna leather seats,"$147,470",6329,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL99PH103265
2C3CDZL90PH103266,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,B5 Blue Pearl,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$164,265",6330,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL90PH103266
2C3CDZL92PH103267,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black interior / Demonic Red seats,SRT Demon 170 Laguna leather seats,"$147,470",6331,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL92PH103267
2C3CDZL94PH103268,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$150,075",6332,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL94PH103268
2C3CDZL96PH103269,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$150,075",6333,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL96PH103269
2C3CDZL92PH103270,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$150,075",6334,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL92PH103270
