100001,110000,49103.3
134379,135000,3737.5
135001,136000,8778.4
120001,130000,25552.7
210000,212000,469.8
260001,260100,155.8
410304,411500,8.6
410304,411500,2221.5
460001,461000,1837.8
610001,611500,36.8
610001,611500,1222.7
660001,661000,1428.7
860001,861000,1797.9
118211,120000,112.2
810756,811000,26.6
128619,130000,198.6
118725,120000,341.7
810756,811500,1194.6
120001,130000,2103.4
116286,120000,624.3
110001,120000,12.7
110001,120000,912.6
136001,137500,864.6
110001,120000,8664.5
137501,138000,17684.9
136001,137500,50587.7
