vin,year,model,body,trim,engine,transmission,drivetrain,exterior_color,msrp,dealer,location,ordernum,json,all_rpos
1G1YT2D62K5604703,2019,CORVETTE Z06,COUPE,3LZ,6.2L SUPERCHARGED V8,M7,RWD,CORVETTE RACING YELLOW TINTCOAT,100805,GENERAL MOTORS LLC,"DETROIT, MI 48265-1000",WRMNWJ,"{'maker': 'CHEVY', 'model_year': '2019', 'mmc_code': '1YZ07', 'vin': '1G1YT2D62K5604703', 'sitedealer_code': '31005', 'sell_source': '13', 'order_number': 'WRMNWJ', 'creation_date': '3/4/2020', 'Options': ['AAB', 'AAV', 'AE4', 'AG2', 'AJK', 'AJ7', 'AL0', 'AP9', 'AXJ', 'A2X', 'BBT', 'BGR', 'B4Z', 'B9F', 'B92', 'CFA', 'CFV', 'CJ2', 'DD0', 'DD8', 'D42', 'EFR', 'EF7', 'EYT', 'E2C', 'FAY', 'FE6', 'FE9', 'FHO', 'GC6', 'GU6', 'G96', 'IL5', 'IO6', 'IWE', 'I19', 'JL5', 'J56', 'J6E', 'KNP', 'KNR', 'KQV', 'LHD', 'LT4', 'MAH', 'MEK', 'NK4', 'NPP', 'NTB', 'N38', 'Q6A', 'RWL', 'RXH', 'R6F', 'R7V', 'R9N', 'R9Z', 'SFE', 'SLM', 'T4F', 'UE1', 'UG1', 'UHS', 'UQS', 'UQT', 'UTJ', 'UTT', 'UTU', 'UTV', 'UVJ', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMK', 'XFK', 'XL8', 'YM8', 'Z52', '1SZ', '19I', '195', '3LZ', '36S', '5A7', '6X1', '7X1', '719', '8X2', '9L3', '9X2']}","['AAB', 'AAV', 'AE4', 'AG2', 'AJK', 'AJ7', 'AL0', 'AP9', 'AXJ', 'A2X', 'BBT', 'BGR', 'B4Z', 'B9F', 'B92', 'CFA', 'CFV', 'CJ2', 'DD0', 'DD8', 'D42', 'EFR', 'EF7', 'EYT', 'E2C', 'FAY', 'FE6', 'FE9', 'FHO', 'GC6', 'GU6', 'G96', 'IL5', 'IO6', 'IWE', 'I19', 'JL5', 'J56', 'J6E', 'KNP', 'KNR', 'KQV', 'LHD', 'LT4', 'MAH', 'MEK', 'NK4', 'NPP', 'NTB', 'N38', 'Q6A', 'RWL', 'RXH', 'R6F', 'R7V', 'R9N', 'R9Z', 'SFE', 'SLM', 'T4F', 'UE1', 'UG1', 'UHS', 'UQS', 'UQT', 'UTJ', 'UTT', 'UTU', 'UTV', 'UVJ', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMK', 'XFK', 'XL8', 'YM8', 'Z52', '1SZ', '19I', '195', '3LZ', '36S', '5A7', '6X1', '7X1', '719', '8X2', '9L3', '9X2']"
1G1YN2D62K5601861,2019,CORVETTE Z06,COUPE,1LZ,6.2L SUPERCHARGED V8,M7,RWD,BLACK,81085,RICK HENDRICK CITY CHEVROLET,"CHARLOTTE, NC 28212-6167",VXSZP0,"{'maker': 'CHEVY', 'model_year': '2019', 'mmc_code': '1YZ07', 'vin': '1G1YN2D62K5601861', 'sitedealer_code': '16140', 'sell_source': '13', 'order_number': 'VXSZP0', 'creation_date': '7/24/2019', 'Options': ['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'B4Z', 'CFA', 'CJ2', 'DL8', 'D31', 'EFR', 'EF7', 'EYT', 'FE6', 'FHO', 'GBA', 'GU6', 'G96', 'IL1', 'IO5', 'I19', 'JL5', 'J56', 'J6F', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'MEK', 'NC7', 'NE1', 'NK4', 'NPP', 'NUE', 'N38', 'Q6U', 'RWL', 'R9N', 'SLM', 'T4F', 'UE1', 'UHS', 'UQA', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VRG', 'VRH', 'VRK', 'VRL', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMK', 'XFK', 'XL8', 'Z52', '1LZ', '1SZ', '19I', '191', '5A7', '6X1', '7X1', '719', '8X2', '9L3', '9X2']}","['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'B4Z', 'CFA', 'CJ2', 'DL8', 'D31', 'EFR', 'EF7', 'EYT', 'FE6', 'FHO', 'GBA', 'GU6', 'G96', 'IL1', 'IO5', 'I19', 'JL5', 'J56', 'J6F', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'MEK', 'NC7', 'NE1', 'NK4', 'NPP', 'NUE', 'N38', 'Q6U', 'RWL', 'R9N', 'SLM', 'T4F', 'UE1', 'UHS', 'UQA', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VRG', 'VRH', 'VRK', 'VRL', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMK', 'XFK', 'XL8', 'Z52', '1LZ', '1SZ', '19I', '191', '5A7', '6X1', '7X1', '719', '8X2', '9L3', '9X2']"
1G1YN2D67K5601922,2019,CORVETTE Z06,COUPE,1LZ,6.2L SUPERCHARGED V8,M7,RWD,BLACK,88085,"CRISWELL CHEVROLET, INC.","GAITHERSBURG, MD 20878-1497",WCGPZM,"{'maker': 'CHEVY', 'model_year': '2019', 'mmc_code': '1YZ07', 'vin': '1G1YN2D67K5601922', 'sitedealer_code': '14126', 'sell_source': '13', 'order_number': 'WCGPZM', 'creation_date': '2/8/2020', 'Options': ['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'B4Z', 'CFA', 'CJ2', 'DL8', 'D31', 'EFR', 'EF7', 'EYT', 'E2C', 'FE6', 'FHO', 'GBA', 'GU6', 'G96', 'IL1', 'IO5', 'I19', 'JL5', 'J57', 'J6F', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'MEK', 'NE1', 'NK4', 'NPP', 'NUE', 'N38', 'Q6A', 'RWL', 'R9N', 'R9Z', 'SLL', 'T4F', 'UE1', 'UHS', 'UQA', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VK3', 'VRG', 'VRH', 'VRK', 'VRL', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMK', 'XFK', 'XL8', 'Z52', '1LZ', '1SZ', '5A7', '6X1', '7X1', '70I', '701', '719', '8X2', '9L3', '9X2']}","['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'B4Z', 'CFA', 'CJ2', 'DL8', 'D31', 'EFR', 'EF7', 'EYT', 'E2C', 'FE6', 'FHO', 'GBA', 'GU6', 'G96', 'IL1', 'IO5', 'I19', 'JL5', 'J57', 'J6F', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'MEK', 'NE1', 'NK4', 'NPP', 'NUE', 'N38', 'Q6A', 'RWL', 'R9N', 'R9Z', 'SLL', 'T4F', 'UE1', 'UHS', 'UQA', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VK3', 'VRG', 'VRH', 'VRK', 'VRL', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMK', 'XFK', 'XL8', 'Z52', '1LZ', '1SZ', '5A7', '6X1', '7X1', '70I', '701', '719', '8X2', '9L3', '9X2']"
1G1YN2D69K5603851,2019,CORVETTE Z06,COUPE,1LZ,6.2L SUPERCHARGED V8,M7,RWD,ELKHART LAKE BLUE METALLIC,98115,HERB CHAMBERS CHEVROLET,"DANVERS, MA 01923-1429",WKXP2V,"{'maker': 'CHEVY', 'model_year': '2019', 'mmc_code': '1YZ07', 'vin': '1G1YN2D69K5603851', 'sitedealer_code': '33044', 'sell_source': '13', 'order_number': 'WKXP2V', 'creation_date': '2/13/2020', 'Options': ['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'B4Z', 'CFA', 'CFV', 'CJ2', 'DL8', 'D31', 'EFR', 'EF7', 'EYT', 'FE7', 'FHO', 'GS7', 'GU6', 'G96', 'IL1', 'IO6', 'I19', 'JL5', 'J57', 'J6F', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'MEK', 'NE1', 'NK4', 'NPP', 'NUE', 'N38', 'Q6A', 'RWL', 'R9N', 'SLM', 'T4F', 'UE1', 'UHS', 'UQA', 'UQT', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VK3', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMK', 'XFM', 'XL8', 'YM8', 'Z07', 'Z52', '1LZ', '1SZ', '14I', '141', '5A7', '6X1', '6Z9', '7X1', '719', '8X2', '9L3', '9X2']}","['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'B4Z', 'CFA', 'CFV', 'CJ2', 'DL8', 'D31', 'EFR', 'EF7', 'EYT', 'FE7', 'FHO', 'GS7', 'GU6', 'G96', 'IL1', 'IO6', 'I19', 'JL5', 'J57', 'J6F', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'MEK', 'NE1', 'NK4', 'NPP', 'NUE', 'N38', 'Q6A', 'RWL', 'R9N', 'SLM', 'T4F', 'UE1', 'UHS', 'UQA', 'UQT', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VK3', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V08', 'V8D', 'WMK', 'XFM', 'XL8', 'YM8', 'Z07', 'Z52', '1LZ', '1SZ', '14I', '141', '5A7', '6X1', '6Z9', '7X1', '719', '8X2', '9L3', '9X2']"
1G1YP2D62K5600123,2019,CORVETTE Z06,COUPE,1LZ,6.2L SUPERCHARGED V8,A8,RWD,ARCTIC WHITE,86445,SIMPSON CHEVROLET OF IRVINE,"IRVINE, CA 92618-2803",VTJG14,"{'maker': 'CHEVY', 'model_year': '2019', 'mmc_code': '1YZ07', 'vin': '1G1YP2D62K5600123', 'sitedealer_code': '23145', 'sell_source': '13', 'order_number': 'VTJG14', 'creation_date': '3/17/2020', 'Options': ['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'BTV', 'B4Z', 'CFA', 'CJ2', 'DL8', 'D31', 'EFR', 'EF7', 'EYT', 'FE6', 'FHO', 'GXB', 'G8G', 'G96', 'IL1', 'IO6', 'I19', 'J56', 'J6F', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'M5U', 'NK4', 'NPP', 'NUE', 'N38', 'Q6U', 'RWL', 'R8E', 'R9N', 'SLM', 'T4F', 'UE1', 'UHS', 'UQA', 'UQT', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VG6', 'VHM', 'VH9', 'VK3', 'VLI', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VRS', 'VT7', 'VV4', 'VYW', 'V03', 'V05', 'V8D', 'WMK', 'XFK', 'XL8', 'YF5', 'YM8', 'Z52', '1LZ', '1SZ', '19I', '191', '5A7', '6X1', '7X1', '719', '8X2', '9L3', '9X2']}","['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'BTV', 'B4Z', 'CFA', 'CJ2', 'DL8', 'D31', 'EFR', 'EF7', 'EYT', 'FE6', 'FHO', 'GXB', 'G8G', 'G96', 'IL1', 'IO6', 'I19', 'J56', 'J6F', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'M5U', 'NK4', 'NPP', 'NUE', 'N38', 'Q6U', 'RWL', 'R8E', 'R9N', 'SLM', 'T4F', 'UE1', 'UHS', 'UQA', 'UQT', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VG6', 'VHM', 'VH9', 'VK3', 'VLI', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VRS', 'VT7', 'VV4', 'VYW', 'V03', 'V05', 'V8D', 'WMK', 'XFK', 'XL8', 'YF5', 'YM8', 'Z52', '1LZ', '1SZ', '19I', '191', '5A7', '6X1', '7X1', '719', '8X2', '9L3', '9X2']"
1G1YP2D68K5600658,2019,CORVETTE Z06,COUPE,1LZ,6.2L SUPERCHARGED V8,A8,RWD,TORCH RED,83615,COX CHEVROLET INCORPORATED,"BRADENTON, FL 34207-1136",VVVX7X,"{'maker': 'CHEVY', 'model_year': '2019', 'mmc_code': '1YZ07', 'vin': '1G1YP2D68K5600658', 'sitedealer_code': '26120', 'sell_source': '13', 'order_number': 'VVVX7X', 'creation_date': '8/22/2019', 'Options': ['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'BTV', 'B4Z', 'CFA', 'CJ2', 'DL8', 'D31', 'EFR', 'EF7', 'EYT', 'FE6', 'FE9', 'FHO', 'GKZ', 'GXB', 'G96', 'IL1', 'IO5', 'I19', 'J56', 'J6F', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'M5U', 'NK4', 'NPP', 'NTB', 'N38', 'Q6A', 'RWL', 'R8E', 'R9N', 'SLM', 'T4F', 'UE1', 'UHS', 'UQA', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V03', 'V05', 'V8D', 'WMK', 'XFK', 'XL8', 'Z52', '1LZ', '1SZ', '19I', '191', '5A7', '6X1', '7X1', '719', '8X2', '9L3', '9X2']}","['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'BTV', 'B4Z', 'CFA', 'CJ2', 'DL8', 'D31', 'EFR', 'EF7', 'EYT', 'FE6', 'FE9', 'FHO', 'GKZ', 'GXB', 'G96', 'IL1', 'IO5', 'I19', 'J56', 'J6F', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'M5U', 'NK4', 'NPP', 'NTB', 'N38', 'Q6A', 'RWL', 'R8E', 'R9N', 'SLM', 'T4F', 'UE1', 'UHS', 'UQA', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V03', 'V05', 'V8D', 'WMK', 'XFK', 'XL8', 'Z52', '1LZ', '1SZ', '19I', '191', '5A7', '6X1', '7X1', '719', '8X2', '9L3', '9X2']"
1G1YP2D68K5601521,2019,CORVETTE Z06,COUPE,1LZ,6.2L SUPERCHARGED V8,A8,RWD,BLADE SILVER METALLIC,91890,EAST HILLS CHEVROLET OF FREEPORT,"FREEPORT, NY 11520-3923",VXZR2P,"{'maker': 'CHEVY', 'model_year': '2019', 'mmc_code': '1YZ07', 'vin': '1G1YP2D68K5601521', 'sitedealer_code': '02310', 'sell_source': '13', 'order_number': 'VXZR2P', 'creation_date': '2/29/2020', 'Options': ['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'BTV', 'B4Z', 'CC3', 'CFZ', 'CJ2', 'DL8', 'DNS', 'DTW', 'D31', 'EFR', 'EF7', 'ERI', 'EYT', 'FE6', 'FHO', 'GAN', 'GXB', 'G96', 'IL1', 'IO6', 'I19', 'J56', 'J6A', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'M5U', 'NE1', 'NK4', 'NPP', 'NUE', 'N38', 'Q6J', 'RWL', 'R8E', 'R9N', 'SFE', 'SLM', 'TTV', 'T4F', 'UE1', 'UHS', 'UQA', 'UQT', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VK3', 'VLI', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VRS', 'VT7', 'VV4', 'VYW', 'V03', 'V05', 'V8D', 'WMK', 'XFK', 'XL8', 'YM8', 'Z52', '1LZ', '1SZ', '19I', '191', '5A7', '6X1', '7X1', '719', '8X2', '9L3', '9X2']}","['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'BTV', 'B4Z', 'CC3', 'CFZ', 'CJ2', 'DL8', 'DNS', 'DTW', 'D31', 'EFR', 'EF7', 'ERI', 'EYT', 'FE6', 'FHO', 'GAN', 'GXB', 'G96', 'IL1', 'IO6', 'I19', 'J56', 'J6A', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'M5U', 'NE1', 'NK4', 'NPP', 'NUE', 'N38', 'Q6J', 'RWL', 'R8E', 'R9N', 'SFE', 'SLM', 'TTV', 'T4F', 'UE1', 'UHS', 'UQA', 'UQT', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VK3', 'VLI', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VRS', 'VT7', 'VV4', 'VYW', 'V03', 'V05', 'V8D', 'WMK', 'XFK', 'XL8', 'YM8', 'Z52', '1LZ', '1SZ', '19I', '191', '5A7', '6X1', '7X1', '719', '8X2', '9L3', '9X2']"
1G1YP2D62K5601868,2019,CORVETTE Z06,COUPE,1LZ,6.2L SUPERCHARGED V8,A8,RWD,ARCTIC WHITE,86305,"JOHN MEGEL CHEVROLET, LLC","DAWSONVILLE, GA 30534-6863",WBTZGZ,"{'maker': 'CHEVY', 'model_year': '2019', 'mmc_code': '1YZ07', 'vin': '1G1YP2D62K5601868', 'sitedealer_code': '08125', 'sell_source': '13', 'order_number': 'WBTZGZ', 'creation_date': '2/25/2020', 'Options': ['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'BTV', 'B4Z', 'CFA', 'CJ2', 'DL8', 'D31', 'EFR', 'EF7', 'EYK', 'FE6', 'FE9', 'FHO', 'GXB', 'G8G', 'G96', 'IL1', 'IO5', 'I19', 'J56', 'J6A', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'M5U', 'NK4', 'NPP', 'NTB', 'N38', 'Q6B', 'RWL', 'R8E', 'R9N', 'SLM', 'T4F', 'UE1', 'UHS', 'UQA', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VRG', 'VRH', 'VRK', 'VRL', 'VRR', 'VT7', 'VV4', 'V03', 'V05', 'V8D', 'WMK', 'XFK', 'XL8', 'Z52', '1LZ', '1SZ', '19I', '191', '5A7', '6X1', '7X1', '719', '8X2', '9L3', '9X2']}","['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'BTV', 'B4Z', 'CFA', 'CJ2', 'DL8', 'D31', 'EFR', 'EF7', 'EYK', 'FE6', 'FE9', 'FHO', 'GXB', 'G8G', 'G96', 'IL1', 'IO5', 'I19', 'J56', 'J6A', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'M5U', 'NK4', 'NPP', 'NTB', 'N38', 'Q6B', 'RWL', 'R8E', 'R9N', 'SLM', 'T4F', 'UE1', 'UHS', 'UQA', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VRG', 'VRH', 'VRK', 'VRL', 'VRR', 'VT7', 'VV4', 'V03', 'V05', 'V8D', 'WMK', 'XFK', 'XL8', 'Z52', '1LZ', '1SZ', '19I', '191', '5A7', '6X1', '7X1', '719', '8X2', '9L3', '9X2']"
1G1YP2D67K5602644,2019,CORVETTE Z06,COUPE,1LZ,6.2L SUPERCHARGED V8,A8,RWD,SEBRING ORANGE TINTCOAT,86400,"MCCLUSKEY CHEVROLET, INC.","LOVELAND, OH 45140",WFWCZT,"{'maker': 'CHEVY', 'model_year': '2019', 'mmc_code': '1YZ07', 'vin': '1G1YP2D67K5602644', 'sitedealer_code': '09412', 'sell_source': '13', 'order_number': 'WFWCZT', 'creation_date': '2/26/2020', 'Options': ['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'BTV', 'B4Z', 'CFA', 'CJ2', 'DL8', 'DNS', 'DTW', 'D31', 'EFR', 'EF7', 'EYT', 'FE6', 'FE9', 'FHO', 'GXB', 'G26', 'G96', 'IL1', 'IO5', 'I19', 'J56', 'J6A', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'M5U', 'NK4', 'NPP', 'NTB', 'N38', 'Q6J', 'RWL', 'R8E', 'R9N', 'SLM', 'TTV', 'T4F', 'UE1', 'UHS', 'UQA', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VK3', 'VRG', 'VRH', 'VRK', 'VRL', 'VRR', 'VT7', 'VV4', 'V03', 'V05', 'V8D', 'WMK', 'XFK', 'XL8', 'Z52', '1LZ', '1SZ', '19I', '191', '5A7', '6X1', '7X1', '719', '8X2', '9L3', '9X2']}","['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'BTV', 'B4Z', 'CFA', 'CJ2', 'DL8', 'DNS', 'DTW', 'D31', 'EFR', 'EF7', 'EYT', 'FE6', 'FE9', 'FHO', 'GXB', 'G26', 'G96', 'IL1', 'IO5', 'I19', 'J56', 'J6A', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'M5U', 'NK4', 'NPP', 'NTB', 'N38', 'Q6J', 'RWL', 'R8E', 'R9N', 'SLM', 'TTV', 'T4F', 'UE1', 'UHS', 'UQA', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VK3', 'VRG', 'VRH', 'VRK', 'VRL', 'VRR', 'VT7', 'VV4', 'V03', 'V05', 'V8D', 'WMK', 'XFK', 'XL8', 'Z52', '1LZ', '1SZ', '19I', '191', '5A7', '6X1', '7X1', '719', '8X2', '9L3', '9X2']"
1G1YP2D62K5604236,2019,CORVETTE Z06,COUPE,1LZ,6.2L SUPERCHARGED V8,A8,RWD,ARCTIC WHITE,88325,LEMAN'S CHEVROLET CITY,"BLOOMINGTON, IL 61704-7151",WNSBX2,"{'maker': 'CHEVY', 'model_year': '2019', 'mmc_code': '1YZ07', 'vin': '1G1YP2D62K5604236', 'sitedealer_code': '47097', 'sell_source': '13', 'order_number': 'WNSBX2', 'creation_date': '2/13/2020', 'Options': ['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'BTV', 'B4Z', 'CFA', 'CJ2', 'DL8', 'DNS', 'DTH', 'D31', 'EFR', 'EF7', 'ERI', 'EYT', 'FE6', 'FE9', 'FHO', 'GXB', 'G8G', 'G96', 'IL1', 'IO5', 'I19', 'J56', 'J6F', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'M5U', 'NK4', 'NPP', 'NTB', 'N38', 'Q9B', 'RWL', 'R8E', 'R9N', 'SFE', 'SLM', 'T4F', 'UE1', 'UHS', 'UQA', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VK3', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V03', 'V05', 'V8D', 'WMK', 'XFK', 'XL8', 'YM8', 'Z52', '1LZ', '1SZ', '19I', '191', '3F9', '5A7', '6X1', '7X1', '8X2', '9L3', '9X2']}","['AAV', 'AG2', 'AJ7', 'AL0', 'AQ9', 'AXJ', 'A2X', 'BBT', 'BGR', 'BTV', 'B4Z', 'CFA', 'CJ2', 'DL8', 'DNS', 'DTH', 'D31', 'EFR', 'EF7', 'ERI', 'EYT', 'FE6', 'FE9', 'FHO', 'GXB', 'G8G', 'G96', 'IL1', 'IO5', 'I19', 'J56', 'J6F', 'KNP', 'KNR', 'LHD', 'LT4', 'MAH', 'M5U', 'NK4', 'NPP', 'NTB', 'N38', 'Q9B', 'RWL', 'R8E', 'R9N', 'SFE', 'SLM', 'T4F', 'UE1', 'UHS', 'UQA', 'UVC', 'UV6', 'U2K', 'U2L', 'VA5', 'VHM', 'VH9', 'VK3', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VT7', 'VV4', 'V03', 'V05', 'V8D', 'WMK', 'XFK', 'XL8', 'YM8', 'Z52', '1LZ', '1SZ', '19I', '191', '3F9', '5A7', '6X1', '7X1', '8X2', '9L3', '9X2']"
