VIN,Year,Model,Trim,Engine,Trans.,Drivetrain,Exterior_Color,Interior_Color,Interior,MSRP,Order_Number,URL2C3CDZL94PH100001,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Laguna Leather Seats,"$162,836",3065,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL94PH100001
2C3CDZL96PH100002,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Cloth Seats,"$127,836",3066,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL96PH100002
2C3CDZL98PH100003,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$162,441",3067,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL98PH100003
2C3CDZL9XPH100004,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Frostbite,Black Interior Color,170 Alcantara Leather Seats,"$134,631",3068,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL9XPH100004
2C3CDZL91PH100005,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black / Demonic Red,170 Laguna Leather Seats,"$145,631",3069,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH100005
2C3CDZL93PH100006,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black Interior Color,170 Cloth Seats,"$115,751",3070,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL93PH100006
2C3CDZL95PH100007,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Octane Red,Black Interior Color,170 Cloth Seats,"$131,836",3071,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL95PH100007
2C3CDZL97PH100008,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Frostbite,Black Interior Color,170 Alcantara Leather Seats,"$123,746",3072,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL97PH100008
2C3CDZL99PH100009,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$136,141",3073,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL99PH100009
2C3CDZL95PH100010,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black Interior Color,170 Alcantara Leather Seats,"$131,841",3074,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL95PH100010
2C3CDZL97PH100011,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$161,446",3075,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL97PH100011
2C3CDZL99PH100012,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$146,926",3076,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL99PH100012
2C3CDZL90PH100013,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$135,936",3077,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL90PH100013
