vin,year,model,body,trim,engine,transmission,drivetrain,exterior_color,msrp,dealer,location,ordernum,json
1G6KE5RS6LU102981,2020,CT6,SEDAN,PREMIUM LUXURY,"3.6L V6, DI, VVT",A10,AWD,STELLAR BLACK METALLIC,78500,"VALENTI CADILLAC, LLC","HARTFORD, CT 06120-1618",XDBWPF,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KJ69', 'vin': '1G6KE5RS6LU102981', 'sitedealer_code': '24194', 'sell_source': '12', 'order_number': 'XDBWPF', 'creation_date': '9/14/2019', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FHO', 'F46', 'F55', 'GB8', 'HD7', 'HMQ', 'HS1', 'IOT', 'I20', 'J56', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LGX', 'MAH', 'MHS', 'NE1', 'NUB', 'NYS', 'N30', 'PDH', 'PYZ', 'QP1', 'RTJ', 'R9N', 'SHH', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VAV', 'VHM', 'VK3', 'VLI', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V3L', 'V8D', 'WML', 'XVR', 'YM8', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCD', '1SD', '1SZ', '4GP', '6HG', '7HG', '8HV', '9HV']}"
1G6KB5RS6LU102987,2020,CT6,SEDAN,LUXURY,"3.6L V6, DI, VVT",A10,AWD,RADIANT SILVER METALLIC,59990,DAVE KRING CADILLAC,"PETOSKEY, MI 49770-0308",XFCF06,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KH69', 'vin': '1G6KB5RS6LU102987', 'sitedealer_code': '20170', 'sell_source': '12', 'order_number': 'XFCF06', 'creation_date': '11/13/2019', 'Options': ['AL0', 'AR7', 'AXJ', 'AX7', 'AYX', 'BTV', 'CJ2', 'C3U', 'DD8', 'DEH', 'DNP', 'EF7', 'E2C', 'FE2', 'FE9', 'FHO', 'F46', 'GAN', 'HS1', 'HTZ', 'IOT', 'I20', 'J56', 'KA1', 'KL9', 'KRV', 'K34', 'K4C', 'LGX', 'MAH', 'MHS', 'NP5', 'NTB', 'PYZ', 'RJZ', 'RT9', 'R9N', 'R9Z', 'SLL', 'TDM', 'TQ5', 'UEU', 'UE1', 'UE4', 'UFG', 'UG1', 'UHS', 'UHX', 'UHY', 'UKC', 'UKJ', 'UQA', 'U2M', 'VHM', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V8D', 'WML', 'Y40', 'Y65', 'ZCD', '1SB', '1SZ', '4GP', '6HB', '7HB', '8HC', '9HC']}"
1G6KE5RS7LU102990,2020,CT6,SEDAN,PREMIUM LUXURY,"3.6L V6, DI, VVT",A10,AWD,CRYSTAL WHITE TRICOAT,77075,BERGSTROM CADILLAC MADISON,"MADISON, WI 53713-3220",XCWJZH,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KJ69', 'vin': '1G6KE5RS7LU102990', 'sitedealer_code': '12532', 'sell_source': '12', 'order_number': 'XCWJZH', 'creation_date': '10/29/2019', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'G1W', 'HD7', 'HS1', 'HTX', 'IOT', 'I20', 'J56', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LGX', 'MAH', 'MHS', 'NTB', 'NYS', 'N30', 'PDH', 'PYZ', 'QP1', 'RTJ', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VAV', 'VHM', 'VK3', 'VLI', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V3L', 'V8D', 'WML', 'W2D', 'XVR', 'YM8', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCD', '1SD', '1SZ', '4J1', '6HG', '7HG', '8HV', '9HV']}"
1G6KV5RJ3LU102993,2020,CT6,SEDAN,PLATINUM,"4.2L BLACKWING TWIN TURBO V8, SIDI, DOHC, VVT",A10,AWD,SHADOW METALLIC,98790,DEVOE CADILLAC,"NAPLES, FL 34106-1098",XCCQ5T,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KM69', 'vin': '1G6KV5RJ3LU102993', 'sitedealer_code': '21073', 'sell_source': '12', 'order_number': 'XCCQ5T', 'creation_date': '12/19/2019', 'Options': ['AL0', 'AQ9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'E2C', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'GJI', 'HD7', 'HK1', 'HS1', 'IOT', 'I20', 'JBP', 'J6H', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LTA', 'MAH', 'MHW', 'NTB', 'NYS', 'N30', 'PZ1', 'QP1', 'RQ9', 'R8E', 'R9N', 'R9Z', 'SLL', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VHM', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V03', 'V3L', 'V8D', 'WML', 'W0A', 'XVR', 'YM8', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCH', '1SP', '1SZ', '4FR', '6JC', '7JC', '8HR', '9HR']}"
1G6KE5RS8LU102996,2020,CT6,SEDAN,PREMIUM LUXURY,"3.6L V6, DI, VVT",A10,AWD,STELLAR BLACK METALLIC,76405,BOUCHER CADILLAC,"WAUKESHA, WI 53186-4020",XCWNM1,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KJ69', 'vin': '1G6KE5RS8LU102996', 'sitedealer_code': '12764', 'sell_source': '12', 'order_number': 'XCWNM1', 'creation_date': '3/22/2020', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'GB8', 'HD7', 'HS1', 'H2X', 'IOT', 'I20', 'J56', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LGX', 'MAH', 'MHS', 'NTB', 'NYS', 'N30', 'PDH', 'PYZ', 'QP1', 'RTJ', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VAV', 'VHM', 'VK3', 'VLI', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V3L', 'V8D', 'WML', 'XVR', 'YM8', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCD', '1SD', '1SZ', '4AA', '6HG', '7HG', '8HV', '9HV']}"
1G6KE5RS3LU102999,2020,CT6,SEDAN,PREMIUM LUXURY,"3.6L V6, DI, VVT",A10,AWD,STELLAR BLACK METALLIC,76700,WILLIAMSON CADILLAC,"MIAMI, FL 33156-2630",XDBRG1,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KJ69', 'vin': '1G6KE5RS3LU102999', 'sitedealer_code': '21029', 'sell_source': '12', 'order_number': 'XDBRG1', 'creation_date': '3/22/2020', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'GB8', 'HD7', 'HS1', 'HTX', 'IOT', 'I20', 'J56', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LGX', 'MAH', 'MHS', 'NTB', 'NYS', 'N30', 'PDH', 'PYZ', 'QP1', 'RTJ', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VAV', 'VHM', 'VLI', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V3L', 'V8D', 'WML', 'XVR', 'YM8', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCD', '1SD', '1SZ', '4J1', '5RU', '6HG', '7HG', '8HV', '9HV']}"
1G6KE5RS3LU103005,2020,CT6,SEDAN,PREMIUM LUXURY,"3.6L V6, DI, VVT",A10,AWD,CRYSTAL WHITE TRICOAT,76715,JEFF SCHMITT CADILLAC,"BEAVERCREEK, OH 45434-6163",XDTHV8,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KJ69', 'vin': '1G6KE5RS3LU103005', 'sitedealer_code': '20946', 'sell_source': '12', 'order_number': 'XDTHV8', 'creation_date': '3/22/2020', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'G1W', 'HD7', 'HMQ', 'HS1', 'IOT', 'I20', 'J56', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LGX', 'MAH', 'MHS', 'NTB', 'NYS', 'N30', 'PYZ', 'QP1', 'RTJ', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VHM', 'VK3', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V3L', 'V8D', 'WML', 'XVR', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCD', '1SD', '1SZ', '4GP', '6HG', '7HG', '8HV', '9HV']}"
1G6KE5RS9LU103008,2020,CT6,SEDAN,PREMIUM LUXURY,"3.6L V6, DI, VVT",A10,AWD,CRYSTAL WHITE TRICOAT,77155,MARKQUART MOTORS,"EAU CLAIRE, WI 54702-1528",XCZXP7,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KJ69', 'vin': '1G6KE5RS9LU103008', 'sitedealer_code': '37160', 'sell_source': '12', 'order_number': 'XCZXP7', 'creation_date': '9/14/2019', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'G1W', 'HD7', 'HMQ', 'HS1', 'IOT', 'I20', 'J56', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LGX', 'MAH', 'MHS', 'NTB', 'NYS', 'N30', 'PDH', 'PYZ', 'QP1', 'RTJ', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VAV', 'VHM', 'VK3', 'VLI', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V3L', 'V8D', 'WML', 'W0A', 'XVR', 'YM8', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCD', '1SD', '1SZ', '4GP', '6HG', '7HG', '8HV', '9HV']}"
1G6KE5RS4LU103014,2020,CT6,SEDAN,PREMIUM LUXURY,"3.6L V6, DI, VVT",A10,AWD,BLACK RAVEN,75490,GENERAL MOTORS LLC,"WARREN, MI 48092-2709",XDSXTP,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KJ69', 'vin': '1G6KE5RS4LU103014', 'sitedealer_code': '31036', 'sell_source': '12', 'order_number': 'XDSXTP', 'creation_date': '10/31/2019', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'B0T', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'GBA', 'HD7', 'HS1', 'H2X', 'IOT', 'I20', 'J56', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LGX', 'MAH', 'MHS', 'NTB', 'NYS', 'N30', 'PYZ', 'QP1', 'RTJ', 'R6F', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VHM', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V3L', 'V8D', 'WML', 'XVR', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCD', '1SD', '1SZ', '4AA', '6HG', '7HG', '8HV', '9HV']}"
1G6KE5RSXLU103017,2020,CT6,SEDAN,PREMIUM LUXURY,"3.6L V6, DI, VVT",A10,AWD,MANHATTAN NOIR METALLIC,76115,DUTTON MOTOR COMPANY,"RIVERSIDE, CA 92504-4105",XDBVVX,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KJ69', 'vin': '1G6KE5RSXLU103017', 'sitedealer_code': '36073', 'sell_source': '12', 'order_number': 'XDBVVX', 'creation_date': '9/14/2019', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FHO', 'F46', 'F55', 'GCI', 'HD7', 'HS1', 'H2X', 'IOT', 'I20', 'J56', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LGX', 'MAH', 'MHS', 'NUB', 'NYS', 'N30', 'PYZ', 'QP1', 'RTJ', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VHM', 'VK3', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V3L', 'V8D', 'WML', 'XVR', 'YF5', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCD', '1SD', '1SZ', '4AA', '6HG', '65C', '7HG', '8HV', '9HV']}"
1G6KE5RS5LU103023,2020,CT6,SEDAN,PREMIUM LUXURY,"3.6L V6, DI, VVT",A10,AWD,SATIN STEEL METALLIC,78500,"VALENTI CADILLAC, LLC","HARTFORD, CT 06120-1618",XDBWSN,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KJ69', 'vin': '1G6KE5RS5LU103023', 'sitedealer_code': '24194', 'sell_source': '12', 'order_number': 'XDBWSN', 'creation_date': '10/29/2019', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FHO', 'F46', 'F55', 'G9K', 'HD7', 'HS1', 'H2X', 'IOT', 'I20', 'J56', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LGX', 'MAH', 'MHS', 'NE1', 'NUB', 'NYS', 'N30', 'PDH', 'PYZ', 'QP1', 'RTJ', 'R9N', 'SHH', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VAV', 'VHM', 'VK3', 'VLI', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V3L', 'V8D', 'WML', 'XVR', 'YM8', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCD', '1SD', '1SZ', '4AA', '6HG', '7HG', '8HV', '9HV']}"
1G6KB5RS5LU103032,2020,CT6,SEDAN,LUXURY,"3.6L V6, DI, VVT",A10,AWD,BLACK RAVEN,64593,HALLMAN MOTORS LIMITED,"HANOVER, ON N4N 2H1",XDQPZ1,"{'maker': 'GMCANADA', 'model_year': '2020', 'mmc_code': '6KH69', 'vin': '1G6KB5RS5LU103032', 'sitedealer_code': '85730', 'sell_source': '14', 'order_number': 'XDQPZ1', 'creation_date': '2/5/2020', 'Options': ['AL0', 'AR7', 'AXJ', 'AX7', 'AYX', 'BTV', 'CJ2', 'C3U', 'DD8', 'DEH', 'DNP', 'FE2', 'FE9', 'FHO', 'F46', 'GBA', 'HS1', 'H66', 'IOT', 'I20', 'J56', 'KA1', 'KL9', 'KRV', 'K05', 'K34', 'K4C', 'LGX', 'MBC', 'MHS', 'NP5', 'NTB', 'PYZ', 'RJZ', 'RT9', 'R7K', 'R7W', 'SFE', 'SLM', 'TDM', 'TQ5', 'UEU', 'UE1', 'UE4', 'UFG', 'UG1', 'UHS', 'UHX', 'UHY', 'UKC', 'UKJ', 'UQA', 'U19', 'U2M', 'VAV', 'VHM', 'VK3', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V8E', 'WML', 'YM8', 'Y40', 'Y65', 'ZCD', 'Z49', '1SB', '4AA', '6HB', '7HB', '8HC', '9HC']}"
1G6KE5RS1LU103035,2020,CT6,SEDAN,PREMIUM LUXURY,"3.6L V6, DI, VVT",A10,AWD,RED HORIZON TINTCOAT,77075,RIZZA CADILLAC,"TINLEY PARK, IL 60487-1164",XDDMHK,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KJ69', 'vin': '1G6KE5RS1LU103035', 'sitedealer_code': '37034', 'sell_source': '12', 'order_number': 'XDDMHK', 'creation_date': '9/14/2019', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'GPJ', 'HD7', 'HMQ', 'HS1', 'IOT', 'I20', 'J56', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LGX', 'MAH', 'MHS', 'NTB', 'NYS', 'N30', 'PDH', 'PYZ', 'QP1', 'RTJ', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VAV', 'VHM', 'VK3', 'VLI', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V3L', 'V8D', 'WML', 'W2D', 'XVR', 'YM8', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCD', '1SD', '1SZ', '4GP', '6HG', '7HG', '8HV', '9HV']}"
1G6KV5RJ3LU103044,2020,CT6,SEDAN,PLATINUM,"4.2L BLACKWING TWIN TURBO V8, SIDI, DOHC, VVT",A10,AWD,STELLAR BLACK METALLIC,101075,BILL BLACK CADILLAC,"GREENSBORO, NC 27420-0467",XBPPB3,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KM69', 'vin': '1G6KV5RJ3LU103044', 'sitedealer_code': '25370', 'sell_source': '12', 'order_number': 'XBPPB3', 'creation_date': '12/19/2019', 'Options': ['AL0', 'AQ9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'E2C', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'GB8', 'HD7', 'HK1', 'HS1', 'IOT', 'I20', 'JBP', 'J6H', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LTA', 'MAH', 'MHW', 'NTB', 'NYS', 'N30', 'PZ1', 'QP1', 'RQ9', 'R8E', 'R9N', 'R9Z', 'SLL', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VAV', 'VHM', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V03', 'V3L', 'V8D', 'WML', 'W0A', 'XVR', 'YM8', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCH', '1SP', '1SZ', '4FR', '5JO', '6JC', '7JC', '8HR', '9HR']}"
1G6KE5RS8LU103047,2020,CT6,SEDAN,PREMIUM LUXURY,"3.6L V6, DI, VVT",A10,AWD,SHADOW METALLIC,76525,JOHN ELWAY CADILLAC OF PARK MEADOWS,"LONE TREE, CO 80124-2754",XCWK1B,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KJ69', 'vin': '1G6KE5RS8LU103047', 'sitedealer_code': '38683', 'sell_source': '12', 'order_number': 'XCWK1B', 'creation_date': '9/17/2019', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'GJI', 'HD7', 'HS1', 'H2X', 'IOT', 'I20', 'J56', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LGX', 'MAH', 'MHS', 'NTB', 'NYS', 'N30', 'PDY', 'PYZ', 'QP1', 'RTJ', 'R9N', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VHM', 'VK3', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'VYW', 'V3L', 'V8D', 'WML', 'W0A', 'XVR', 'YM8', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCD', '1SD', '1SZ', '4AA', '6HG', '7HG', '8HV', '9HV']}"
1G6KE5RS8LU103050,2020,CT6,SEDAN,PREMIUM LUXURY,"3.6L V6, DI, VVT",A10,AWD,STELLAR BLACK METALLIC,78800,"STEVE FOLEY CADILLAC, INC.","NORTHBROOK, IL 60062-1610",XCWK7C,"{'maker': 'CADILLAC', 'model_year': '2020', 'mmc_code': '6KJ69', 'vin': '1G6KE5RS8LU103050', 'sitedealer_code': '37023', 'sell_source': '12', 'order_number': 'XCWK7C', 'creation_date': '9/17/2019', 'Options': ['AL0', 'AR9', 'AXJ', 'AX7', 'AYX', 'BTV', 'CWA', 'C24', 'C3U', 'DEH', 'DNP', 'DRZ', 'EF7', 'FE2', 'FE9', 'FHO', 'F46', 'F55', 'GB8', 'HD7', 'HS1', 'HTX', 'IOT', 'I20', 'J56', 'KA1', 'KA6', 'KEM', 'KL9', 'KRV', 'KSG', 'KU9', 'K4C', 'LGX', 'MAH', 'MHS', 'NTB', 'NYS', 'N30', 'PDH', 'PDT', 'PYZ', 'QP1', 'RTJ', 'R8V', 'R9N', 'SB2', 'SLM', 'TC2', 'TDM', 'TQ5', 'TSQ', 'UDV', 'UEU', 'UE1', 'UE4', 'UFG', 'UGN', 'UG1', 'UKC', 'UKJ', 'UKK', 'UKL', 'UQH', 'UTR', 'UTT', 'UTU', 'UTV', 'UVZ', 'UV2', 'UV3', 'UV6', 'UWG', 'U2M', 'VAV', 'VHM', 'VK3', 'VLI', 'VRG', 'VRH', 'VRK', 'VRL', 'VRM', 'VRN', 'VRR', 'VV4', 'V3L', 'V8D', 'WML', 'XVR', 'YM8', 'Y4Z', 'Y40', 'Y41', 'Y42', 'Y61', 'Y65', 'Y66', 'ZCD', '1SD', '1SZ', '4J1', '5JO', '6HG', '7HG', '8HV', '9HV']}"
